Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2021-04-01 0:00:00,58789.96,58819.71,58749.23,58819.71,2.5,146970.02,58783.62
2021-04-01 0:01:00,58819.71,58899.97,58819.71,58841.29,4.91,288896.46,58843.47
2021-04-01 0:02:00,58841.29,58973.51,58841.29,58971.13,2.35,138607.35,58930.7
2021-04-01 0:03:00,58980.23,59098.64,58980.23,59098.64,2.83,167261.88,59019.89
2021-04-01 0:04:00,59085.02,59155.4,58995.45,59119.53,7.84,463527.74,59106.24
2021-04-01 0:05:00,59101.96,59107.69,59032.19,59040.46,1.38,81784.45,59099.08
2021-04-01 0:06:00,59034.99,59099,59034.99,59099,0.98,57960.87,59075.74
2021-04-01 0:07:00,59109.16,59109.16,59047.7,59047.7,1,58817.43,59086.96
2021-04-01 0:08:00,59025.42,59088.16,59007.25,59088.16,3.34,197319.39,59060.02
2021-04-01 0:09:00,59099.9,59100,59060.54,59066.75,1.03,60894.22,59078.78
2021-04-01 0:10:00,59068.31,59088.7,59067.3,59080.08,0.27,15976.04,59081.72
2021-04-01 0:11:00,59097.77,59100.49,59075.95,59075.95,1.49,87950.21,59080.45
2021-04-01 0:12:00,59078.01,59084.8,59064.05,59084.8,0.25,14947.9,59071.15
2021-04-01 0:13:00,59065.09,59074.91,58983.13,58983.13,0.79,46848.49,59040.22
2021-04-01 0:14:00,59008.56,59008.56,58986.2,58986.26,0.38,22345.61,59000.85
2021-04-01 0:15:00,58991.95,58998.65,58960.41,58977.62,0.76,44953.71,58976.91
2021-04-01 0:16:00,58975.36,58975.36,58933.48,58933.48,0.97,57025.57,58958.93
2021-04-01 0:17:00,58924.3,58979.8,58904.26,58979.8,2.48,145971.87,58932.78
2021-04-01 0:18:00,58996.96,59036.56,58996.96,59036.56,0.57,33873.82,59024
2021-04-01 0:19:00,59036.19,59039.85,58884.99,58907.99,4.51,265928.44,58968.42
2021-04-01 0:20:00,58906.25,58945.33,58906.25,58943.56,0.5,29398.85,58912.47
2021-04-01 0:21:00,58956.38,58994.7,58956.38,58987.15,0.75,44077.22,58971.04
2021-04-01 0:22:00,58987.15,59021.11,58956.33,59016.08,0.79,46547.83,58972.74
2021-04-01 0:23:00,59015.13,59022.15,59013.43,59013.44,0.97,57002.97,59020.08
2021-04-01 0:24:00,58990.4,58990.4,58943.42,58943.42,1.49,88044.44,58948.49
2021-04-01 0:25:00,58965.77,58969.75,58964.77,58964.77,0.04,2513.71,58965.79
2021-04-01 0:26:00,58955.77,58988.37,58955.77,58970.3,0.51,29876.41,58970.5
2021-04-01 0:27:00,58955.77,58955.77,58937.72,58937.72,0.25,14829.58,58952.32
2021-04-01 0:28:00,58947.72,58980.89,58947.72,58980.89,0.23,13306.15,58961.94
2021-04-01 0:29:00,58990.59,58990.59,58931.75,58945.43,1.16,68091.42,58942.11
2021-04-01 0:30:00,58955.84,59006.44,58955.84,59006.44,0.69,40940.1,58989.4
2021-04-01 0:31:00,59020.03,59051.75,59020.03,59047.42,0.94,55270.45,59037.48
2021-04-01 0:32:00,59034.14,59075.98,59026.24,59068.08,0.58,34067.26,59060.96
2021-04-01 0:33:00,59074.57,59074.57,59025.32,59050.02,0.47,27980.35,59038.71
2021-04-01 0:34:00,59056.14,59080.65,59040.39,59057.67,2.01,118431.64,59054.62
2021-04-01 0:35:00,59055.12,59071.76,59036.12,59058.25,0.77,45477.79,59054.59
2021-04-01 0:36:00,59058.25,59058.25,59007.88,59007.88,1,58791.36,59031.03
2021-04-01 0:37:00,58982.48,58985.14,58980.24,58982.48,0.47,27604.93,58982.39
2021-04-01 0:38:00,58982.48,59017.08,58969.5,59017.08,2.05,120760.79,59012.73
2021-04-01 0:39:00,59031.77,59031.77,58984.53,58998.23,2.07,122223.63,59011.1
2021-04-01 0:40:00,59008.68,59024.85,59008.68,59024.85,0.68,40059.86,59012.77
2021-04-01 0:41:00,59059.69,59059.69,59027.37,59027.37,0.11,6630.49,59044.5
2021-04-01 0:42:00,59027.37,59029.94,58990.91,59010.73,0.13,7429.73,59018.88
2021-04-01 0:43:00,58994.24,59009.65,58993.8,59009.65,0.04,2343.85,58994.35
2021-04-01 0:44:00,59001.2,59047.61,59001.2,59040.81,0.13,7563.1,59040.61
2021-04-01 0:45:00,59050.71,59068.35,59050.71,59068.35,0.08,4516.3,59052.01
2021-04-01 0:46:00,59064.5,59078.56,59050.45,59074.98,0.41,24183.11,59064.91
2021-04-01 0:47:00,59074.18,59140,59074.18,59092.7,4.08,241284.44,59120.11
2021-04-01 0:48:00,59108.23,59150.8,59108.23,59150.8,0.41,24104.25,59148.64
2021-04-01 0:49:00,59138.13,59138.13,59122.27,59136.66,0.42,25022.4,59129.23
2021-04-01 0:50:00,59136.46,59136.46,59085.81,59110.12,0.47,27646.15,59111.87
2021-04-01 0:51:00,59093.9,59093.91,59075.64,59088.7,0.46,27356.47,59085.24
2021-04-01 0:52:00,59055.67,59061.32,59024.36,59059.41,1.17,68902.32,59036.6
2021-04-01 0:53:00,59089.64,59121.56,59089.64,59121.56,0.04,2223.12,59094.05
2021-04-01 0:54:00,59160.96,59204.99,59131.88,59145.71,2.4,142311.26,59194.9
2021-04-01 0:55:00,59141.25,59169.18,59103.15,59122.95,0.95,55954.02,59141.01
2021-04-01 0:56:00,59150.15,59254.76,59150.15,59254.76,0.88,52032.2,59204
2021-04-01 0:57:00,59254.84,59254.84,59166.17,59187.33,0.91,53684.46,59196.35
2021-04-01 0:58:00,59181.34,59212.15,59181.33,59206.17,0.45,26900.89,59199.09
2021-04-01 0:59:00,59202.32,59256.77,59202.32,59228.05,1.78,105574.36,59222.42
2021-04-01 1:00:00,59244.42,59300,59244.42,59300,2.04,120898.93,59278.75
2021-04-01 1:01:00,59292.77,59301,59264.04,59289.21,2.07,122939.21,59295.91
2021-04-01 1:02:00,59271.41,59271.41,59234.85,59234.85,0.41,24408.51,59240.41
2021-04-01 1:03:00,59228.84,59228.84,59190.82,59190.82,3.37,199300.83,59213.24
2021-04-01 1:04:00,59197.5,59197.5,59186.66,59190.91,0.19,11177.64,59187.42
2021-04-01 1:05:00,59178.14,59192.62,59177.86,59185.45,1.54,90874.93,59180.22
2021-04-01 1:06:00,59186.49,59186.49,59143.7,59167.38,0.14,8533.53,59147.76
2021-04-01 1:07:00,59152.05,59187.3,59152.05,59181.41,1.03,61086.01,59180.52
2021-04-01 1:08:00,59181.44,59181.44,59175.68,59179.6,0.01,759.16,59179.43
2021-04-01 1:09:00,59171.08,59242.4,59159.93,59171.85,5.74,340193.66,59220.9
2021-04-01 1:10:00,59148.29,59217.57,59148.29,59217.57,0.18,10357.21,59149.71
2021-04-01 1:11:00,59195.65,59303.03,59194.1,59303.02,3,177550.1,59270.24
2021-04-01 1:12:00,59303.02,59328.38,59214.02,59214.02,3.1,183686.58,59263.83
2021-04-01 1:13:00,59208.71,59268.5,59208.71,59251.84,0.48,28641.59,59234.18
2021-04-01 1:14:00,59257.82,59257.82,59223.69,59254.98,0.13,7699.25,59234.31
2021-04-01 1:15:00,59254.97,59254.97,59222.44,59226.16,0.14,8046.14,59229.1
2021-04-01 1:16:00,59232.98,59333.13,59229.29,59326.72,1.51,89711.47,59318.61
2021-04-01 1:17:00,59307.55,59329.99,59291.77,59329.99,2.01,118982.6,59318.41
2021-04-01 1:18:00,59315.55,59317.26,59306.47,59317.26,0.55,32616.11,59313.14
2021-04-01 1:19:00,59325.12,59335.87,59288.72,59319.55,1.99,117957.73,59317.14
2021-04-01 1:20:00,59316.39,59339.49,59290.61,59290.72,2.46,145869.69,59313.94
2021-04-01 1:21:00,59290.72,59298.94,59278.17,59287.12,2.27,134801.37,59286.82
2021-04-01 1:22:00,59295.3,59300,59265.25,59265.33,0.45,26444.91,59286.45
2021-04-01 1:23:00,59282.87,59282.87,59244.9,59244.9,0.12,7281.85,59252.4
2021-04-01 1:24:00,59244.9,59244.9,59190.04,59190.04,2.32,137094.14,59219.53
2021-04-01 1:25:00,59209.22,59209.22,59147.93,59154.84,6.28,371799.6,59162.4
2021-04-01 1:26:00,59148.85,59166.03,59094.99,59094.99,0.57,33784.37,59117.1
2021-04-01 1:27:00,59103.47,59151.2,59099.65,59140.96,0.76,45067.6,59123.28
2021-04-01 1:28:00,59137.68,59168.1,59089.65,59089.65,2.58,152705.77,59111.44
2021-04-01 1:29:00,59134.28,59138.12,59134.28,59138.12,0.22,12997.38,59137
